,,,"Weather Station 1","Weather Station 1","Weather Station 1","Weather Station 1","Weather Station 1","Weather Station 1","Weather Station 2","Weather Station 2","Weather Station 2","Weather Station 2","Weather Station 2","Weather Station 2","Weather Station 2","Weather Station 4","Weather Station 4","Weather Station 4","Weather Station 4","Weather Station 4","Weather Station 4","Weather Station 4","Weather Station 6","Weather Station 6","Weather Station 6","Weather Station 6","Weather Station 6","Weather Station 6","Weather Station 6"
1982/08/21,1982,233,,,,,,,34.2,20,1.3,,45,,3.1,31.5,11.5,1.4,,37,,1.3,32.4,17.2,1.1,,47,,1.1
1982/08/22,1982,234,,,,,,,33.3,18.4,1.1,,49,,3,30,11.8,1.3,,28,,1.5,31.6,17.2,1.1,,48,,0.9
1982/08/23,1982,235,,,,,,,33.3,17.6,1,,49,,3.1,30,11.1,1.2,,36,,1.4,31.3,16.1,0.9,,48,,1
1982/08/24,1982,236,,,,,,,30.6,14.6,0.8,,50,,3,27.1,8.9,1,,19,,1.4,29.1,14.2,0.7,,49,,1
1982/08/25,1982,237,,,,,,,28.7,14.5,0.9,,37,,2.8,24.7,7.9,1.1,,32,,1.3,27.1,15,0.8,,38,,1.1
1982/08/26,1982,238,,,,,,,29.5,13.3,1.2,,24,,2.9,25.9,9.1,1.4,,11,,1.1,27.8,10.9,1.1,,23,,1.2
1982/08/27,1982,239,,,,,,,29.9,13.8,1.3,,48,,2.8,26.2,9.1,1.4,,9,,1.3,27.1,13.6,1.2,,47,,1.2
1982/08/28,1982,240,,,,,,,26.2,13.8,1.5,,23,,2.6,23.6,11.2,1.6,,12,,1.2,23.1,10.5,1.3,,20,,1.3
1982/08/29,1982,241,,,,,,,28.5,12.6,1.4,,31,,2.7,23.9,8,1.4,,15,,1.1,24.1,10.8,1.2,,30,,1.2
1982/08/30,1982,242,,,,,,,28.2,16.4,1.1,,42,,3.6,25.7,10.1,1.3,,34,,1.6,25.3,14.7,1.1,,37,,1.6
1982/08/31,1982,243,,,,,,,29.7,14.1,1,,47,,2.9,26.2,8,1.2,,,,1.4,26.4,14.4,0.9,,46,,1.4
1982/09/01,1982,244,,,,,,,29.2,14.1,0.9,,47,,3,25.6,6.4,1,,5,,1.5,26.8,12.3,0.8,,46,,1.1
1982/09/02,1982,245,,,,,,,29.5,13.7,0.7,,41,,3,25.4,5,0.9,,36,,1.4,26.4,10.6,0.6,,38,,1
1982/09/03,1982,246,,,,,,,32.4,15.2,0.7,,42,,2.7,28.4,10.9,1.1,,10,,1.3,29.1,14.2,0.6,,41,,1
1982/09/04,1982,247,,,,,,,29.4,16.1,0.9,,44,,2.9,26.8,10.4,1.2,,41,,1.4,28.6,14.5,0.9,,42,,1.4
1982/09/05,1982,248,,,,,,,28.8,13.9,1.1,,47,,2.9,24.9,8.6,1.2,,33,,1.3,26.5,11.3,1,,36,,1
1982/09/06,1982,249,,,,,,,29.6,13.5,1,,48,,3.7,25.7,7.2,1.2,,42,,1.6,27.9,10.1,1,,37,,1.4
1982/09/07,1982,250,,,,,,,27.2,13.3,1.2,,54,,2.8,22.8,8.7,1.3,,28,,1.1,23.2,9.8,1.1,,30,,0.9
1982/09/08,1982,251,,,,,,,28.8,13.8,1.1,,58,,3,25.3,8.1,1.1,,39,,1.5,27.1,12.4,1,,42,,1.2
1982/09/09,1982,252,,,,,,,30.4,15.4,1,,54,,3.2,26.6,7.9,1.1,,20,,1.5,28.6,13.6,0.9,,41,,1.4
1982/09/10,1982,253,,,,,,,20.1,9.7,1.3,,36,,2.3,14.8,7.8,1.3,,5,,0.9,16.9,6,1.1,,6,,1.3
1982/09/11,1982,254,,,,,,,15.1,4.3,0.9,,43,,2.4,13,1.2,0.8,,14,,1.3,12.9,1.1,0.7,,31,,1.3
1982/09/12,1982,255,,,,,,,15.5,4.3,0.9,,17,,2.3,11.6,0.3,0.8,," ",,1.1,9.8,1.4,0.7,,11,,1.2
1982/09/13,1982,256,,,,,,,11.8,3,1,,10,,2,9.3,0.7,0.9,," ",,1.2,7.9,-0.1,0.7,,9,,0.9
1982/09/14,1982,257,,,,,,,15.1,1.9,0.8,,25,,2.4,11.7,4.8,0.8,," ",,1.1,10.8,-1.3,0.7,,25,,1
1982/09/15,1982,258,,,,,,,21.6,8.1,1.1,,40,,3.3,19.2,5.2,1,,28,,1.6,18.5,3.6,1,,33,,1.6
1982/09/16,1982,259,,,,,,,21.1,7.4,1,,37,,2.7,18.8,4.2,1,,29,,1.3,18.2,8.1,0.9,,30,,1.2
1982/09/17,1982,260,,,,,,,21.5,10.3,1.2,,32,,1.9,18.8,6.4,1.1,," ",,1.3,18.5,7.2,1,,28,,1
1982/09/18,1982,261,,,,,,,24.5,10.4,1.1,,48,,2.6,20.8,5.2,1.1,,31,,1.5,22.3,8.9,1,,40,,0.9
1982/09/19,1982,262,,,,,,,26.2,9.8,1.2,,46,,2.9,22.6,6.2,1.1,,11,,1.2,20.7,9.2,1.1,,36,,1.2
1982/09/20,1982,263,,,,,,,24.8,12,1.2,,49,,3.4,22.6,8,1.2,,31,,1.3,22.2,7.9,1.1,,32,,1.3
1982/09/21,1982,264,,,,,,,26.3,13,1.2,,46,,3.2,24.2,7.3,1.2,,37,,1.5,23.9,11.1,1.1,,38,,1.2
1982/09/22,1982,265,,,,,,,28.4,13.8,1.1,,49,,2.9,25,7.4,1.1,,37,,1.4,25.1,12.9,1,,38,,1.4
1982/09/23,1982,266,,,,,,,28.3,13.1,0.9,,48,,2.9,24.8,6.5,1,,37,,1.4,25.1,12.7,0.8,,38,,1
1982/09/24,1982,267,,,,,,,29.6,13.4,1,,28,,2.6,26.6,5.6,1.2,,21,,1.1,25.4,10.5,0.9,,23,,1.1
1982/09/25,1982,268,,,,,,,17,13.3,1.6,,8,,1.8,15.6,11.8,1.5,,7,,0.7,12.6,10.7,1.3,,6,,1.2
1982/09/26,1982,269,,,,,,,17.2,7,1.4,,3,,2,14.7,5.5,1.3,,3,,0.9,12,3.4,1.1,,3,,1.5
1982/09/27,1982,270,,,,,,,9.5,1.9,1,,5,,1.7,7.5,0.5,0.9,,6,,0.9,5.8,-0.2,0.8,,5,,0.7
1982/09/28,1982,271,,,,,,,10,0.7,0.8,,8,,2.4,8,0,0.7,,1,,1,9.7,-1.5,0.6,,9,,1
1982/09/29,1982,272,,,,,,,6.4,0.7,0.8,,7,,2.9,4.1,-0.7,0.7,,2,,0.7,2,-3,0.6,,7,,1.5
1982/09/30,1982,273,,,,,,,12.4,3,0.9,,14,,3.2,8.7,0.7,0.8,,0,,1,14.7,-0.1,0.7,,13,,1.5
1982/10/01,1982,274,,,,,,,7.1,2.6,0.8,,5,,1.7,4.8,0.4,0.7,,4,,1,4,-1.4,0.7,,6,,1.5
1982/10/02,1982,275,,,,,,,16.3,2.4,0.8,,32,,2.5,13.3,-0.3,0.7,,2,,1.2,15.3,0.6,0.7,,31,,1.2
1982/10/03,1982,276,,,,,,,18.6,5.1,0.8,,32,,3,16,-0.3,0.7,,1,,1.5,15.1,5.5,0.6,,27,,1.8
1982/10/04,1982,277,,,,,,,19.3,5.3,0.8,,23,,3.3,17.7,3.5,0.7,," ",,2.1,16.3,0.4,0.6,,24,,1.7
1982/10/05,1982,278,,,,,,,10.3,0.7,0.7,,14,,2.2,7.1,-2.7,0.6,," ",,1.3,6.5,-2.1,0.6,,10,,0.8
1982/10/06,1982,279,,,,,,,17.6,-0.1,0.5,,38,,2.7,15.6,0.5,0.5,,8,,1.3,14.4,-2.2,0.4,,31,,0.9
1982/10/07,1982,280,,,,,,,13.3,-0.4,0.6,,8,,2.4,11.3,-2.3,0.6,,7,,1.5,8.7,-4.3,0.5,,6,,1.6
1982/10/08,1982,281,,,,,,,5.9,-2.2,0.6,,16,,2.3,3.3,-5,0.5,,5,,1.3,4.8,-6,0.4,,13,,1.3
1982/10/09,1982,282,,,,,,,8.4,-3.1,0.5,,32,,2.2,5.6,-6.5,0.5,,21,,1.1,7.5,-6.6,0.4,,24,,1.2
1982/10/10,1982,283,,,,,,,10.7,-1.9,0.5,,41,,2.8,7.9,-5.9,0.5,,32,,1.4,8.2,-5.2,0.4,,32,,1
1982/10/11,1982,284,,,,,,,12.1,-0.6,0.6,,21,,2.4,8.6,-5.2,0.5,,14,,1.2,7.1,-2.5,0.5,,13,,0.7
1982/10/12,1982,285,,,,,,,15,1.7,0.8,,39,,2.7,12.1,-2.5,0.7,,30,,1.5,14,0.8,0.7,,30,,1
1982/10/13,1982,286,,,,,,,17.2,4.8,0.8,,35,,2.8,14.6,-1.1,0.7,,28,,1.5,17,2.9,0.7,,28,,1
1982/10/14,1982,287,,,,,,,19.5,5.5,0.7,,39,,2.6,16.5,-1.4,0.6,,30,,1.5,18.4,4.2,0.6,,29,,0.9
1982/10/15,1982,288,,,,,,,20.3,7.4,0.8,,39,,2.7,16.8,2.2,0.8,,25,,1.9,18.9,6.8,0.7,,29,,1.1
1982/10/16,1982,289,,,,,,,20.5,7.3,0.7,,40,,2.8,17.1,0.5,0.6,,29,,1.6,18.8,6,0.5,,29,,1.3
1982/10/17,1982,290,,,,,,,17,7.1,0.5,,20,,3.4,15.6,0.6,0.6,,15,,1.7,14.2,6.8,0.4,,15,,1.7
1982/10/18,1982,291,,,,,,,11.2,-2,0.5,,33,,2.8,8.8,-5.3,0.5,,25,,1.9,9.3,-6.5,0.4,,25,,1.7
1982/10/19,1982,292,,,,,,,8.3,-4.1,0.4,,31,,2.2,5.6,-8.9,0.3,,22,,1.3,7.3,-7.3,0.3,,25,,1
1982/10/20,1982,293,,,,,,,12.9,-2.4,0.4,,36,,2.5,10.4,-7.1,0.3,,27,,1.4,13,-2.2,0.2,,28,,1
1982/10/21,1982,294,,,,,,,16.5,1.9,0.4,,36,,2.5,14.3,-3.3,0.4,,26,,1.5,15.7,1.5,0.3,,27,,1
1982/10/22,1982,295,,,,,,,19.7,7.8,0.6,,19,,2.1,17.1,0.6,0.6,,16,,1.2,15.6,6.6,0.5,,15,,1
1982/10/23,1982,296,,,,,,,20.7,8.7,0.7,,29,,2.8,18.1,1.2,0.6,,22,,1.4,19.4,7.6,0.5,,22,,1.2
1982/10/24,1982,297,,,,,,,18,8.1,0.8,,19,,1.8,18.3,3.3,0.7,,16,,1.1,18,5.1,0.6,,15,,1.1
1982/10/25,1982,298,,,,,,,15.7,8.1,1.1,,12,,2.2,13.1,3.7,0.9,,11,,1,11.7,5,0.9,,12,,1.3
1982/10/26,1982,299,,,,,,,13.3,0.8,0.9,,3,,3.6,11.1,-2,0.7,,1,,1.7,7.8,-1.3,0.8,,1,,2.1
1982/10/27,1982,300,,,,,,,5,-2.7,0.6,,14,,2.1,3.2,-6.6,0.5,,10,,1.8,1.9,-6.9,0.5,,8,,1
1982/10/28,1982,301,,,,,,,7.2,-4.6,0.5,,24,,2.5,12,-9.7,0.4,,20,,1.1,9.5,-8.1,0.4,,26,,1
1982/10/29,1982,302,,,,,,,7.8,-0.4,0.5,,13,,2.6,6.4,-5.7,0.5,,9,,1.5,4.6,-1.4,0.4,,11,,2.4
1982/10/30,1982,303,,,,,,,8.2,3.7,0.8,,3,,2.3,2.4,-1.3,0.6,,3,,1.1,4.8,0,0.6,,3,,2.1
1982/10/31,1982,304,,,,,,,6.6,0.3,0.8,,6,,2,2.3,-3.6,0.6,,4,,1.1,2.4,-2.6,0.6,,8,,1.3
1982/11/01,1982,305,,,,,,,7.9,-0.2,0.6,,17,,2.5,5.5,-4.7,0.5,,12,,1.3,5.2,-4,0.5,,13,,1.4
1982/11/02,1982,306,,,,,,,7.8,-3.5,0.4,,31,,2.6,5.9,-8.5,0.4,,18,,1.1,7,-6.7,0.3,,24,,1.1
1982/11/03,1982,307,,,,,,,8.5,-4.1,0.4,,31,,2.7,6.1,-8.9,0.3,,19,,1.4,7.7,-6.5,0.3,,24,,1.3
1982/11/04,1982,308,,,,,,,11.4,-0.9,0.3,,30,,2.6,10.1,-6.4,0.3,,18,,1.4,13.3,-0.4,0.2,,24,,1.5
1982/11/05,1982,309,,,,,,,12.9,0.3,0.4,,30,,2.6,11.3,-5.6,0.4,,17,,1.5,13.4,2.8,0.2,,23,,1.6
1982/11/06,1982,310,,,,,,,16.2,2,0.3,,30,,3,13.7,-3.5,0.4,,16,,1.7,12.9,3.2,0.2,,23,,2.5
1982/11/07,1982,311,,,,,,,9.3,-1,0.6,,24,,2.2,8,-6,0.5,,13,,1.2,9.3,-2.7,0.4,,20,,1.5
1982/11/08,1982,312,,,,,,,8.6,1.9,0.6,,7,,3.7,6.8,0.3,0.6,,4,,1.7,3.9,1,0.5,,5,,2.3
1982/11/09,1982,313,,,,,,,7.5,1.9,0.6,,13,,3.3,5.8,-4,0.6,,7,,1.4,5.1,-2.4,0.5,,10,,1.5
1982/11/10,1982,314,,,,,,,5.9,-1.3,0.5,,7,,2.7,3.5,-5.1,0.5,,3,,1.2,1.8,-4.6,0.4,,6,,2.1
1982/11/11,1982,315,,,,,,,3.2,-2.9,0.5,,15,,2.1,0.9,-6.9,0.4,,7,,1.8,-0.7,-5.8,0.4,,7,,1.7
1982/11/12,1982,316,,,,,,,6.4,-4.3,0.4,,25,,2.2,4.1,-9.8,0.4,,13,,1.1,7.8,-7,0.3,,20,,1.5
1982/11/13,1982,317,,,,,,,3.3,-5.9,0.4,,14,,3,-0.1,-10.7,0.4,,5,,2.2,0.7,-8.6,0.3,,5,,1.9
1982/11/14,1982,318,,,,,,,5.1,-6.7,0.2,,25,,2.7,3.4,-11.9,0.3,,14,,1.3,6.1,-9.5,0.2,,20,,1
1982/11/15,1982,319,,,,,,,7.6,-5.1,0.3,,24,,2.7,5.1,-9.9,0.3,,12,,1.4,6.6,-4.2,0.2,,19,,1.8
1982/11/16,1982,320,,,,,,,10.8,-1.4,0.3,,24,,2.5,9.2,-7.5,0.3,,14,,1.4,8.8,-2.2,0.2,,20,,1.8
1982/11/17,1982,321,,,,,,,11.6,1.7,0.4,,17,,3,9.6,-4.8,0.4,,10,,1.4,9,1.2,0.3,,16,,2.1
1982/11/18,1982,322,,,,,,,10.4,2.9,0.5,,11,,7,8.9,-4.1,0.5,,6,,3,6.8,1.1,0.5,,11,,4
1982/11/19,1982,323,,,,,,,7.3,-3.5,0.6,,11,,4,5.4,-8,0.5,,7,,2.6,2.5,-5.4,0.5,,5,,2.9
1982/11/20,1982,324,,,,,,,7.3,-4,0.5,,15,,2.1,3.1,-9,0.4,,9,,1.3,3.8,-6.8,0.4,,15,,1.6
1982/11/21,1982,325,,,,,,,5.4,-4.1,0.5,,18,,2.9,3.5,-9.3,0.4,,11,,1.4,4.3,-6.4,0.4,,16,,2
1982/11/22,1982,326,,,,,,,3,-8.4,0.4,,14,,1.8,2.4,-13.5,0.3,,11,,1.3,2.3,-11.3,0.3,,15,,1.4
1982/11/23,1982,327,,,,,,,0.1,-8.5,0.2,,17,,4.1,2.2,-16.2,0.2,,12,,1.3,2.8,-13.7,0.2,,18,,1.1
1982/11/24,1982,328,,,,,,,3.5,-9.5,0.3,,13,,1.3,4.1,-14.6,0.3,,10,,1.2,7.5,-10.1,0.2,,16,,1.1
1982/11/25,1982,329,,,,,,,2.9,-5.7,0.4,,15,,2.1,1.6,-10.6,0.4,,11,,1.3,4.1,-7.5,0.3,,17,,1.7
1982/11/26,1982,330,,,,,,,5,-6.4,0.4,,14,,2.1,6.7,-12.2,0.3,,12,,1.3,11.5,-7,0.2,,18,,1
1982/11/27,1982,331,,,,,,,7.9,-4.5,0.3,,13,,2,9.6,-10.4,0.3,,10,,1.2,8.5,-2.9,0.2,,17,,1.6
1982/11/28,1982,332,,,,,,,5.2,-1.4,0.6,,6,,1.9,3.4,-6.8,0.5,,4,,1,4.1,-2.3,0.5,,6,,1.6
1982/11/29,1982,333,,,,,,,5.7,1.5,0.7,,4,,3.1,3.3,-2.3,0.6,,3,,1.8,0.8,-2.4,0.5,,3,,2.5
1982/11/30,1982,334,,,,,,,4.8,0.6,0.7,,2,,2.3,1.2,-2.4,0.6,,1,,1.1,0.6,-2.6,0.6,,1,,1.7
1982/12/01,1982,335,,,,,,,1.7,-2.9,0.6,,2,,5.3,-1.7,-6.4,0.4,,1,,3.7,-2.5,-6.5,0.4,,4,,2.3
1982/12/02,1982,336,,,,,,,-1.5,-7.2,0.5,,4,,3.2,-4.3,-12.3,0.4,,1,,2.4,-5.5,-9,0.4,,3,,1.6
1982/12/03,1982,337,,,,,,,6.8,-6.4,0.5,,10,,2.2,7.7,-11.3,0.4,,8,,1,7.4,-8.8,0.5,,13,,1
1982/12/04,1982,338,,,,,,,8.3,-3.2,0.6,,9,,2.2,4.7,-9.1,0.5,,7,,1,8.2,-3.1,0.5,,16,,1.4
1982/12/05,1982,339,,,,,,,8.6,-2.1,0.6,,12,,2.1,7.1,-8.4,0.5,,8,,1,6.7,-4.4,0.5,,15,,1.2
1982/12/06,1982,340,,,,,,,9.9,-1.6,0.5,,8,,2,5.7,-7.4,0.5,,5,,1.2,5.5,-3.1,0.4,,7,,1.7
1982/12/07,1982,341,,,,,,,-0.4,-5.8,0.4,,4,,5.6,-1.8,-6.3,0.4,,3,,1.3,-2.5,-8.4,0.4,,5,,3.9
1982/12/08,1982,342,,,,,,,1.8,-7.5,0.3,,14,,6.3,4.3,-8.3,0.3,,11,,1.8,3.1,-10.2,0.3,,17,,3.8
1982/12/09,1982,343,,,,,,,1.2,-7.8,0.4,,13,,1.4,6,-9.6,0.4,,10,,1.1,9.6,-2.2,0.5,,15,,1.4
1982/12/10,1982,344,,,,,,,3.2,-7.1,0.5,,13,,1.3,5.4,-9.6,0.4,,10,,1,10.1,-2.9,0.5,,17,,0.8
1982/12/11,1982,345,,,,,,,2.1,-6.6,0.5,,10,,1.8,1,-11.6,0.4,,8,,1,6.6,-8.2,0.4,,15,,0.7
1982/12/12,1982,346,,,,,,,1.4,-7.4,0.4,,10,,2,0.9,-10.7,0.4,,8,,1.1,5.6,-10.3,0.3,,16,,1.4
1982/12/13,1982,347,,,,,,,-1.9,-7.7,0.5,,3,,2.4,-3.2,-10.5,0.4,,2,,1.8,-1.2,-7.8,0.4,,3,,2.4
1982/12/14,1982,348,,,,,,,5.3,-4.9,0.4,,13,,1.5,1.6,-7.2,0.4,,9,,1.1,-0.4,-8.6,0.3,,12,,1.7
1982/12/15,1982,349,,,,,,,7.6,-3.1,0.5,,8,,1.6,6.4,-4.4,0.5,,5,,0.9,3.4,-6.2,0.4,,8,,2.3
1982/12/16,1982,350,,,,,,,13.7,2.6,0.5,,13,,2,14.6,-2.6,0.6,,9,,1.2,9.7,0.9,0.4,,12,,2.5
1982/12/17,1982,351,,,,,,,9.2,-1.1,0.4,,11,,2.9,7.8,-4.2,0.4,,8,,2.1,5.9,-3.2,0.3,,11,,2.9
1982/12/18,1982,352,,,,,,,7.5,-3.5,0.4,,14,,2,7.6,-8.5,0.3,,11,,1.8,3.2,-7,0.3,,18,,1.9
1982/12/19,1982,353,,,,,,,12.8,-3.6,0.3,,14,,2.4,9.6,-8.8,0.3,,10,,1.3,7.3,-2.3,0.2,,16,,2
1982/12/20,1982,354,,,,,,,8.3,-1.1,0.4,,7,,2.1,7.3,-6.4,0.4,,5,,1.4,4.4,0.6,0.3,,6,,2.6
1982/12/21,1982,355,,,,,,,9.1,5.4,0.4,,5,,4.1,7.2,0.2,0.4,,3,,2.5,4.5,1.7,0.3,,5,,3.6
1982/12/22,1982,356,,,,,,,7.9,2.2,0.7,,7,,3.2,6.2,-0.4,0.6,,3,,1.7,3,-2.2,0.6,,4,,2.9
1982/12/23,1982,357,,,,,,,7.8,-4.2,0.6,,4,,3.9,6.1,-7,0.5,,3,,2.9,2.7,-8.9,0.5,,4,,2.7
1982/12/24,1982,358,,,,,,,2.5,-8.7,0.4,,12,,1.9,1.8,-14.2,0.3,,7,,1.2,-2,-12,0.3,,5,,1.3
1982/12/25,1982,359,,,,,,,1.2,-11.5,0.3,,13,,2.9,0.4,-17.1,0.2,,10,,1.1,0.6,-13.4,0.2,,18,,1.3
1982/12/26,1982,360,,,,,,,-0.3,-12,0.3,,11,,2.1,0.4,-17.6,0.3,,8,,1.1,1.7,-11.9,0.1,,13,,1.3
1982/12/27,1982,361,,,,,,,-3.8,-12.8,0.3,,7,,1.8,-5.7,-17.6,0.3,,5,,1.3,-6.6,-15.6,0.3,,4,,1.3
1982/12/28,1982,362,,,,,,,-4.4,-15.2,0.2,,12,,2.5,-5.8,-21,0.2,,9,,1.1,-4.3,-18.8,0.2,,16,,0.8
1982/12/29,1982,363,,,,,,,-4.4,-15.4,0.2,,12,,2.7,-5.1,-21.2,0.2,,10,,1.2,-4.1,-17.1,0.1,,17,,1.1
1982/12/30,1982,364,,,,,,,-3.9,-15.7,0.2,,11,,2.5,-3.4,-21.5,0.2,,10,,1.2,-3.6,-18.5,0.2,,17,,0.9
1982/12/31,1982,365,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983/01/01,1983,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983/01/02,1983,2,,,,,,,1.6,-11.4,0.3,,13,,1.7,0.4,-16.7,0.2,,11,,1.3,9.1,-9.1,0.2,,18,,1.1
1983/01/03,1983,3,,,,,,,0.2,-10.8,0.3,,9,,1.3,1.2,-14.6,0.3,,7,,1.1,2,-5.3,0.2,,9,,1.7
1983/01/04,1983,4,,,,,,,5.3,-5.5,0.5,,8,,1.1,4.4,-7.2,0.5,,5,,0.8,1.8,-4.4,0.5,,7,,2.2
1983/01/05,1983,5,,,,,,,14.6,2,0.6,,14,,2.1,11.3,-2.7,0.6,,10,,1.1,9.3,0.6,0.6,,17,,2.2
1983/01/06,1983,6,,,,,,,12.6,4.5,0.6,,11,,2.1,10.7,-1.8,0.6,,8,,1.2,9.5,3.2,0.5,,13,,2.7
1983/01/07,1983,7,,,,,,,7.4,0.1,0.7,,4,,1.7,6.3,-1.9,0.6,,4,,2,3.7,-1.9,0.6,,3,,2
1983/01/08,1983,8,,,,,,,10.6,-1.5,0.6,,6,,3.4,10.1,-3.2,0.5,,9,,2.3,8.1,-6.2,0.5,,14,,2.2
1983/01/09,1983,9,,,,,,,1.5,-6.2,0.4,,13,,4.2,-1.4,-10.8,0.3,,12,,2.9,-0.7,-10.3,0.3,,17,,2.4
1983/01/10,1983,10,,,,,,,8.9,-5.5,0.4,,11,,2.6,5.9,-10.7,0.4,,11,,1.2,4.9,-8.2,0.3,,17,,2.1
1983/01/11,1983,11,,,,,,,10.4,-1.6,0.4,,7,,2.9,11.4,-0.3,0.3,,18,,1.2,10.9,-4.4,0.3,,19,,1.2
1983/01/12,1983,12,,,,,,,9.7,-3.4,0.3,,10,,2.7,14.4,-9.6,0.3,,12,,1.3,17.9,-2.8,0.2,,20,,1.2
1983/01/13,1983,13,,,,,,,10.6,-2.7,0.4,,14,,2,15.1,-7.4,0.3,,12,,1.3,13.4,-0.2,0.2,,20,,1.6
1983/01/14,1983,14,,,,,,,7.9,-2.4,0.4,,13,,2,12.5,-7.9,0.3,,12,,1.4,15.7,-0.6,0.2,,20,,0.8
1983/01/15,1983,15,,,,,,,9.2,-2.3,0.4,,14,,1.7,15.1,-7.4,0.3,,12,,1.2,12.1,-0.5,0.2,,20,,1.2
1983/01/16,1983,16,,,,,,,10.5,-2.5,0.4,,13,,1.5,13.9,-6.2,0.4,,11,,1,12.8,-1,0.2,,16,,1
1983/01/17,1983,17,,,,,,,3.7,-1.4,0.6,,6,,1.1,3.1,-3.3,0.6,,4,,0.8,8.8,-2.8,0.6,,8,,1.4
1983/01/18,1983,18,,,,,,,6.1,-1.9,0.6,,4,,1.3,-0.6,-6.8,0.5,,3,,0.9,2.3,-5.3,0.5,,8,,1
1983/01/19,1983,19,,,,,,,4.4,-2,0.5,,8,,2.3,2.8,-8.2,0.5,,6,,1.1,2.3,-5.5,0.4,,7,,1.8
1983/01/20,1983,20,,,,,,,3.4,-1.9,0.6,,8,,1.1,2.4,-6,0.5,,8,,1.1,5.6,-5.5,0.5,,10,,1.1
1983/01/21,1983,21,,,,,,,-0.4,-2.7,0.5,,5,,1.6,-3.5,-5.6,0.5,,4,,1.3,-1.7,-6.3,0.4,,5,,0.9
1983/01/22,1983,22,,,,,,,5.6,-6,0.5,,12,,1.8,5.2,-11.2,0.4,,9,,1.1,3.6,-8.2,0.3,,12,,1.8
1983/01/23,1983,23,,,,,,,6.7,-1.7,0.6,,11,,1.8,3.2,-6.4,0.5,,9,,1.5,3.1,-4.4,0.5,,13,,1.9
1983/01/24,1983,24,,,,,,,6.3,-1.4,0.5,,6,,2.4,5.2,-6.7,0.4,,5,,1.6,2.4,-4.1,0.3,,7,,2.2
1983/01/25,1983,25,,,,,,,5.2,-3.1,0.6,,11,,1.4,2.7,-7,0.5,,7,,1.2,2.8,-6.5,0.5,,8,,1.1
1983/01/26,1983,26,,,,,,,12.4,-2.6,0.5,,16,,2.2,14.6,-7.2,0.5,,12,,1.2,13,-4.9,0.4,,17,,1.9
